"/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8000102014","4020500036","4020500037","4020600039","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202017","4010102005","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202023","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202014","FREE","FREE"
"8000102015","4020500035","4020500036","4020500037","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103009","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203024","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203021","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000102016","4020500037","4020500037","4020500036","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","4010201013","FREE","FREE","FREE","FREE"
"8000102017","4020500036","4020500035","4020500038","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102011","FREE","FREE","FREE","FREE","FREE","4010102008","4010202023","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202020","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000102018","4020500035","4020500037","4020500036","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103006","4010203018","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103009","FREE","FREE","FREE","FREE","FREE","FREE","4010203021","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203024","FREE","FREE","FREE","FREE","FREE","FREE","4010103012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203015","4010103003","FREE"
"8000102019","4020600039","4020500036","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201016","FREE","FREE","FREE","FREE","FREE","4010201022","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201022","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","4010101001","FREE","FREE","FREE"
"8000102020","4020500035","4020500038","4020500038","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202017","FREE","FREE","4010202017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202020","4010102011","FREE","FREE","FREE","FREE","FREE","FREE","4010102011","FREE","FREE","FREE","FREE","FREE","FREE","4010102011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000103001","4020600039","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","4010201016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201022","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","4010201013","FREE"
"8000103002","4020600039","4020600039","4020500036","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","4010103006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203024","FREE","FREE","FREE","FREE","FREE","4010203021","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201022","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","4010203015","FREE","FREE"
"8000103003","4020600039","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203024","FREE","4010303027","FREE","FREE","FREE","4010203021","4010203024","FREE","FREE","FREE","4010303027","FREE","4010203021","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203015","FREE","FREE","FREE"
"8000103004","4020600039","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","4010201022","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000103005","4020500035","4020500036","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","FREE","FREE"
"8000103006","4020500037","4020500036","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102005","FREE","FREE","FREE","FREE","FREE","FREE","4010302026","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010302026","4010202020","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201022","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","4010101001","FREE","FREE","FREE","FREE"
"8000103007","4020500037","4020600039","4020500038","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","4010201016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000103008","4020500035","4020500036","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101001","FREE"
"8000103009","4020500035","4020500037","4020500036","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010302026","FREE","4010202020","FREE","FREE","FREE","4010302026","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102002","FREE","FREE"
"8000103010","4020500035","4020500037","4020500036","4020500035","4020500038","4020500037","4020500036","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010303027","FREE","FREE","4010103009","FREE","FREE","FREE","4010303027","FREE","FREE","FREE","FREE","FREE","FREE","4010303027","FREE","FREE","FREE","FREE","FREE","FREE","4010303027","FREE","FREE","FREE","4010203024","FREE","FREE","4010303027","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000103011","4020500036","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101010","FREE","FREE","FREE","4010400028","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000103012","4020500036","4020500038","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103006","FREE","FREE","4010201016","FREE","4010203024","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010400028","4010303027","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000103013","4020500036","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202023","FREE","FREE","4010302026","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102002","FREE","FREE"
"8000103014","4020500036","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201022","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000103015","4020500036","4020500036","4020500037","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101010","FREE","FREE","FREE","FREE","FREE","FREE","4010203024","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","4010303027","FREE","4010301025","FREE","FREE","FREE","FREE","4010303027","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","4010103009","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000103016","4020500037","4020500036","4020500037","4020500036","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","4010102005","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","4010302026","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","4010202014","FREE","FREE"
"8000103017","4020600039","4020500036","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010303027","FREE","FREE","FREE","FREE","FREE","4010203024","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010303027","FREE","FREE","FREE","4010203021","FREE","FREE","FREE","4010103003","FREE","FREE","FREE"
"8000103018","4020500036","4020600039","4020500036","4020500038","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010303027","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010303027","FREE","FREE","4010203024","FREE","4010303027","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203021","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000103019","4020500036","4020600039","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","4010201016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201022","FREE","FREE","FREE","4010301025","FREE","FREE","4010201022","FREE","FREE","FREE","FREE","FREE","4010101007","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","FREE","FREE"
"8000103020","4020600039","4020600039","4020600039","4020600039","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","4010202017","4010202017","4010202017","4010202017","4010202017","FREE","4010202023","FREE","FREE","FREE","FREE","FREE","4010102008","4010102011","FREE","FREE","FREE","FREE","FREE","4010202020","4010202023","FREE","FREE","FREE","FREE","FREE","4010102008","4010102011","FREE","FREE","FREE","FREE","FREE","4010202020","4010202023","FREE","FREE","FREE","FREE","FREE","4010102008","FREE","4010202014","4010202014","4010202014","4010202014","4010202014","FREE"
"8000103021","4020500036","4020500037","4020500036","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101010","FREE","FREE","FREE","4010400028","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","FREE"
"8000104001","4020500035","4020500036","4020600039","4020500035","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102005","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010302026","FREE","FREE","FREE","4010202023","FREE","FREE","4010302026","FREE","4010400028","FREE","FREE","FREE","FREE","4010302026","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000104002","4020500037","4020500037","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102005","4010101004","4010103006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010303027","FREE","4010203021","FREE","FREE","FREE","FREE","4010302026","FREE","4010202020","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000104003","4020500035","4020500036","4020500035","4020500037","4020500038","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","4010500030","FREE","FREE","4010101010","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","4010500030","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","FREE"
"8000104004","4020500035","4020500038","4020500037","4020500036","4020500037","4020500036","4020500037","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","4010102005","4010103006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","4010302026","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203021","FREE","FREE","FREE","4010201013","FREE","4010202014","FREE"
"8000104005","4020500036","4020600039","4020500038","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102005","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202023","FREE","FREE","FREE","FREE","FREE","FREE","4010202023","FREE","FREE","FREE","FREE","4010400028","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202020","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000104006","4020500035","4020600039","4020500035","4020500037","4020500036","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","4010203018","4010101004","4010203018","FREE","FREE","FREE","4010303027","FREE","FREE","FREE","4010103009","FREE","FREE","FREE","FREE","4010500032","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010303027","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","FREE"
"8000104007","4020500037","4020500036","4020700040","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010400028","FREE","4010301025","FREE","4010301025","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","FREE"
"8000104008","4020600039","4020500036","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203018","FREE","FREE","FREE","4010203024","FREE","FREE","FREE","4010303027","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103012","FREE","FREE","FREE","4010400028","4010303027","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
