"/","","",""
"8000406002","1/1/1/1/1/2","3","720"
"8000406003","1/1/1/1/2/1","3","720"
"8000406004","1/1/1/1/2/2","3","720"
"8000406005","1/1/1/2/1/1","3","720"
"8000406006","1/1/1/2/1/2","3","720"
"8000406007","1/1/1/2/2/1","3","720"
"8000406008","1/1/1/2/2/2","3","720"
"8000406009","1/1/2/1/1/1","3","720"
"8000406010","1/1/2/1/1/2","3","720"
"8000406011","1/1/2/1/2/1","3","720"
"8000406012","1/1/2/1/2/2","3","720"
"8000406013","1/1/2/2/1/1","3","720"
"8000406014","1/1/2/2/1/2","3","720"
"8000406015","1/1/2/2/2/1","3","720"
"8000406016","1/1/2/2/2/2","3","720"
"8000406017","1/2/1/1/1/1","3","720"
"8000406018","1/2/1/1/1/2","3","720"
"8000406019","1/2/1/1/2/1","3","720"
"8000406020","1/2/1/1/2/2","3","720"
"8000406021","1/2/1/2/1/1","3","720"
"8000406022","1/2/1/2/1/2","3","720"
"8000406023","1/2/1/2/2/1","3","720"
"8000406024","1/2/1/2/2/2","3","720"
"8000406025","1/2/2/1/1/1","3","720"
"8000406026","1/2/2/1/1/2","3","720"
"8000406027","1/2/2/1/2/1","3","720"
"8000406028","1/2/2/1/2/2","3","720"
"8000406029","1/2/2/2/1/1","3","720"
"8000406030","1/2/2/2/1/2","3","720"
"8000406031","1/2/2/2/2/1","3","720"
"8000406032","1/2/2/2/2/2","3","720"
"8000406033","2/1/1/1/1/1","3","720"
"8000406034","2/1/1/1/1/2","3","720"
"8000406035","2/1/1/1/2/1","3","720"
"8000406036","2/1/1/1/2/2","3","720"
"8000406037","2/1/1/2/1/1","3","720"
"8000406038","2/1/1/2/1/2","3","720"
"8000406039","2/1/1/2/2/1","3","720"
"8000406040","2/1/1/2/2/2","3","720"
"8000406041","2/1/2/1/1/1","3","720"
"8000406042","2/1/2/1/1/2","3","720"
"8000406043","2/1/2/1/2/1","3","720"
"8000406044","2/1/2/1/2/2","3","720"
"8000406045","2/1/2/2/1/1","3","720"
"8000406046","2/1/2/2/1/2","3","720"
"8000406047","2/1/2/2/2/1","3","720"
"8000406048","2/1/2/2/2/2","3","720"
"8000406049","2/2/1/1/1/1","3","720"
"8000406050","2/2/1/1/1/2","3","720"
"8000406051","2/2/1/1/2/1","3","720"
"8000406052","2/2/1/1/2/2","3","720"
"8000406053","2/2/1/2/1/1","3","720"
"8000406054","2/2/1/2/1/2","3","720"
"8000406055","2/2/1/2/2/1","3","720"
"8000406056","2/2/1/2/2/2","3","720"
"8000406057","2/2/2/1/1/1","3","720"
"8000406058","2/2/2/1/1/2","3","720"
"8000406059","2/2/2/1/2/1","3","720"
"8000406060","2/2/2/1/2/2","3","720"
"8000406061","2/2/2/2/1/1","3","720"
"8000406062","2/2/2/2/1/2","3","720"
"8000406063","2/2/2/2/2/1","3","720"
"8000406064","2/2/2/2/2/2","3","720"
