"csv 출력 버튼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8000202006","80","0","02","02","006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112122006","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","4123120012","4123120012","FREE","4131012020","4122120010","FREE","FREE",""
"8000202007","80","0","02","02","007","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","4112121002","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","4122120010","FREE","FREE","4124120014","FREE","FREE","FREE","4124240015","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","4131011016","FREE","FREE","FREE","FREE",""
"8000202008","80","0","02","02","008","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112242008","4122120010","4122120010","4123120012","4131032022","FREE","FREE","FREE","4124240015","FREE","FREE","4123240013",""
"8000202009","80","0","02","02","009","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112121002","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4124240015","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","4123120012","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4131011016","4123120012","4124120014",""
"8000202010","80","0","02","02","010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4124240015","FREE","FREE","FREE","FREE","4122240011","FREE","4122240011","FREE","FREE","FREE","4112241004","FREE","FREE","4131031018","FREE","FREE","FREE","FREE","4122120010","4122120010","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","4124240015",""
"8000203001","80","0","02","03","001","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","FREE","FREE","FREE","4112241004","FREE","FREE","FREE","4131031018","4123120012","FREE","FREE","4123120012","4123120012","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","4122240011",""
"8000203002","80","0","02","03","002","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","4122120010","FREE","FREE","4112241004","FREE","FREE","FREE","FREE","4131031018","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","FREE","4123120012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","4124240015",""
"8000203003","80","0","02","03","003","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112242008","FREE","FREE","FREE","4131032022","FREE","FREE","FREE","4123120012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","4123120012","4123120012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","4122240011","FREE",""
"8000203004","80","0","02","03","004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","4122120010","FREE","4122240011","FREE","4112242008","FREE","FREE","FREE","FREE","4131032022","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","FREE",""
"8000203005","80","0","02","03","005","FREE","4112241004","FREE","FREE","FREE","FREE","4131031018","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","4123120012","4123120012","4123120012","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE",""
"8000203006","80","0","02","03","006","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4124240015","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","4112241004","FREE","FREE","4123120012","FREE","4131031018","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE",""
"8000203007","80","0","02","03","007","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4124120014","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112242008","4122120010","4122120010","4123120012","4131032022","FREE","FREE","FREE","4124240015","FREE","FREE","4123240013",""
"8000203008","80","0","02","03","008","FREE","FREE","FREE","4112241004","FREE","FREE","4131031018","FREE","FREE","FREE","FREE","4122120010","4122120010","FREE","FREE","4123120012","FREE","FREE","FREE","4124240015","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4124120014",""
"8000203009","80","0","02","03","009","FREE","FREE","FREE","FREE","FREE","FREE","4124240015","FREE","FREE","FREE","FREE","FREE","FREE","4124240015","4123120012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112122006","FREE","FREE","FREE","FREE","4124120014","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","4122120010","FREE","FREE","4131012020","FREE","4122120010","4123120012",""
"8000303010","80","0","03","03","010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","4122120010","4122120010","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4124120014","FREE","4112241004","4123120012","4123120012","4123120012","4131031018",""
"8000204001","80","0","02","04","001","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112121002","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","4122120010","FREE","FREE","4122240011","FREE","4122120010","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4124240015","FREE","FREE","FREE","FREE","4131011016","FREE","FREE","FREE","FREE","FREE",""
"8000204002","80","0","02","04","002","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112242008","4122120010","4122120010","4131032022","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","4123120012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4124240015","4123120012","FREE","FREE","FREE","4122240011","FREE","4122240011",""
"8000204003","80","0","02","04","003","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","4112241004","FREE","4122120010","FREE","4131031018","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","FREE",""
"8000204004","80","0","02","04","004","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","4112122006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","4122240011","FREE","FREE","4123240013","FREE","4123120012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","4131012020","FREE",""
"8000204005","80","0","02","04","005","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","4112121002","FREE","FREE","FREE","4122120010","FREE","FREE","4123240013","FREE","4123120012","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","FREE","FREE","FREE","FREE","4131011016","FREE",""
"8000204006","80","0","02","04","006","FREE","FREE","FREE","4122240011","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","4124120014","FREE","4112242008","FREE","FREE","FREE","4131032022","FREE","FREE","FREE","4123120012","4123120012","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","FREE","4123240013",""
"8000204007","80","0","02","04","007","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","4123120012","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","4122120010","FREE","4122240011","FREE","FREE","FREE","FREE","4112241004","FREE","4131031018","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","FREE",""
"8000204008","80","0","02","04","008","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112242008","FREE","FREE","FREE","FREE","4131032022","FREE","FREE","4123120012","4123120012","4123120012","4123120012","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","4122120010","4122120010","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","FREE",""
"8000204009","80","0","02","04","009","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","4122240011","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","4122240011","FREE","4122240011","FREE","FREE","4112241004","FREE","FREE","FREE","4131031018","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","FREE","FREE","FREE",""
"8000204010","80","0","02","04","010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","4122120010","4112122006","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","4123120012","4122120010","4131012020","FREE","FREE","4122120010",""
"8000305001","80","0","03","05","001","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","4122120010","FREE","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","4112242008","FREE","4122120010","4122120010","4131032022","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4124120014","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","4122240011","4123120012","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE",""
"8000205002","80","0","02","05","002","FREE","FREE","FREE","FREE","4122240011","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","4112121002","4122120010","FREE","FREE","4122120010","4122120010","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","4122240011","FREE","4122240011","FREE","4124120014","FREE","FREE","FREE","4131011016","FREE","4123120012",""
"8000205003","80","0","02","05","003","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","FREE","4122240011","FREE","4122240011","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","4123120012","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","4112242008","4122120010","FREE","FREE","FREE","4131032022","FREE","4122240011","FREE","FREE","4123240013","FREE","FREE",""
"8000205004","80","0","02","05","004","FREE","4122240011","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","4122120010","FREE","FREE","4112241004","4123120012","FREE","FREE","FREE","4131031018","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","4123120012","FREE","FREE","FREE","FREE","4122240011","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","4123120012",""
"8000205005","80","0","02","05","005","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","4112122006","4122120010","FREE","4122240011","FREE","FREE","4122240011","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","4122120010","FREE","FREE","4122120010","4131012020","FREE","FREE","FREE","4123120012",""
"8000205006","80","0","02","05","006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","4122240011","FREE","4122120010","FREE","4112241004","FREE","FREE","FREE","4123120012","4131031018","FREE","FREE","4112122006","FREE","4122120010","FREE","FREE","4122120010","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","4122120010","FREE","FREE","4131012020","4123120012","FREE","FREE","4123240013",""
"8000205007","80","0","02","05","007","FREE","FREE","4123240013","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","4122240011","FREE","4112121002","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112242008","4122120010","4131032022","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","4123120012","FREE","4131011016","FREE","4122120010","4122120010",""
"8000205008","80","0","02","05","008","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","4123120012","4122120010","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","4112122006","FREE","4112121002","FREE","4122120010","FREE","FREE","4122240011","FREE","FREE","4122240011","FREE","4122120010","FREE","4131012020","FREE","4131011016","FREE","4122120010",""
"8000205009","80","0","02","05","009","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","4112121002","4122120010","FREE","FREE","4122240011","FREE","FREE","FREE","4112242008","4123120012","FREE","FREE","FREE","4131032022","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","4123120012","4131011016","FREE","FREE","FREE","FREE","4123120012","FREE",""
"8000205010","80","0","02","05","010","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112242008","4122120010","FREE","4122120010","4123120012","4131032022","4131041019","FREE","FREE","FREE","FREE","4112231003","FREE","FREE","FREE","FREE","4122240011","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","4122120010","FREE","FREE","4122240011",""
"8000206001","80","0","02","06","001","FREE","FREE","FREE","4122240011","FREE","4122240011","4131021017","4122120010","FREE","FREE","4121300009","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","4121300009","FREE","FREE","FREE","FREE","4121300009","4122120010","FREE","FREE","4123240013","FREE","FREE","FREE","4123240013","FREE","FREE","4112111001","4123120012","FREE","4122240011","FREE","FREE","4122120010","FREE","4131042023","4121300009","FREE","4122120010","4123120012","4112232007","FREE",""
"8000206002","80","0","02","06","002","FREE","FREE","FREE","4131021017","FREE","FREE","FREE","FREE","4121300009","FREE","FREE","FREE","4123240013","4121300009","4131042023","FREE","4122120010","4121300009","FREE","4112232007","FREE","FREE","4122120010","FREE","4122240011","4122120010","FREE","FREE","FREE","FREE","4122240011","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","4112111001","4121300009","4123120012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE",""
"8000206003","80","0","02","06","003","FREE","FREE","FREE","4121300009","FREE","FREE","4123240013","4122120010","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","4121300009","4122120010","FREE","4112242008","FREE","4122120010","4122120010","FREE","4131032022","FREE","FREE","4123120012","FREE","4112241004","FREE","4131031018","FREE","FREE","4121300009","FREE","4122240011","4123120012","FREE","4122120010","FREE","FREE","4122240011","FREE","4122240011","4122120010",""
"8000206004","80","0","02","06","004","FREE","FREE","FREE","4122240011","FREE","FREE","4131022021","4112121002","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","4123240013","4122120010","FREE","FREE","FREE","4121300009","FREE","FREE","4123240013","4122120010","4122120010","4121300009","FREE","FREE","FREE","4122240011","FREE","FREE","4123240013","FREE","4122120010","FREE","FREE","FREE","FREE","4112112005","4131011016","FREE","FREE","FREE","FREE","4122240011","FREE",""
"8000206005","80","0","02","06","005","4131042023","FREE","FREE","4121300009","FREE","4112232007","FREE","FREE","4122240011","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","4123120012","FREE","4112121002","FREE","FREE","FREE","4122240011","FREE","4122240011","4121300009","FREE","4122120010","FREE","FREE","4123240013","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","4123240013","4122120010","FREE","FREE","4122120010","FREE","4122240011","4131011016",""
"8000206006","80","0","02","06","006","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","4122120010","4112121002","FREE","4122240011","4121300009","4112122006","4122120010","FREE","4121300009","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","4123240013","4122120010","FREE","FREE","4122120010","FREE","FREE","4121300009","FREE","4122240011","FREE","FREE","FREE","4122120010","FREE","4122240011","FREE","FREE","FREE","4131011016","FREE","FREE","4123240013","4131012020","4123120012",""
"8000206007","80","0","02","06","007","4121300009","FREE","4122240011","FREE","FREE","FREE","4123240013","FREE","FREE","FREE","4122240011","FREE","4121300009","4121300009","4131041019","FREE","FREE","FREE","4121300009","4112231003","FREE","4131042023","FREE","FREE","FREE","FREE","4112232007","FREE","FREE","FREE","FREE","4123120012","4122120010","FREE","4122240011","FREE","FREE","4122120010","FREE","4122240011","FREE","FREE","4123120012","4122120010","4121300009","FREE","4122240011","FREE","4122120010",""
"8000206008","80","0","02","06","008","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","4122120010","FREE","FREE","4123240013","FREE","FREE","4112121002","4121300009","FREE","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","4122240011","4122120010","FREE","4122240011","4121300009","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","4122120010","FREE","4122120010","FREE","FREE","4121300009","4131011016","FREE","4112242008","FREE","4122120010","4123120012","4121300009","4131032022",""
"8000206009","80","0","02","06","009","4131021017","FREE","FREE","FREE","4123240013","4131022021","FREE","FREE","4122120010","FREE","FREE","4121300009","FREE","FREE","FREE","4122240011","4122120010","4122120010","FREE","4122240011","4123120012","FREE","FREE","4122240011","FREE","4121300009","FREE","FREE","4112111001","FREE","FREE","FREE","FREE","4112112005","FREE","FREE","FREE","4122120010","4121300009","4122120010","FREE","FREE","4121300009","4123120012","FREE","4122240011","FREE","FREE","4122240011",""
"8000206010","80","0","02","06","010","4121300009","FREE","FREE","FREE","4122240011","FREE","FREE","4121300009","4122120010","4112122006","FREE","FREE","4122120010","FREE","FREE","4112241004","4121300009","4122120010","4122120010","FREE","4131031018","FREE","4122240011","FREE","FREE","4123240013","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","FREE","4123120012","FREE","4122240011","4131012020","4123120012","FREE","FREE","4122240011",""
