"###","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8000803003","4700000001","2","2","2","2","2","0","1","1","1","0","1","0","0","0","1","0","1","1","1","0","2","2","2","2","2"
"8000803004","4700000001","2","0","1","0","2","2","1","1","1","2","2","0","1","0","2","2","1","1","1","2","2","0","1","0","2"
"8000803005","4700000003","2","2","2","2","2","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","2","2","2","2","2"
"8000803006","4700000004","2","0","0","0","2","2","0","1","0","2","2","1","0","1","2","2","0","1","0","2","2","0","0","0","2"
"8000803007","4700000005","2","2","2","2","2","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","2","2","2","2","2"
"8000803008","4700000006","2","2","2","2","2","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","2","2","2","2","2"
"8000803009","4700000007","2","2","2","2","2","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","2","2","2","2","2"
"8000803010","4700000008","2","0","0","0","2","2","0","1","0","2","2","1","0","1","2","2","0","1","0","2","2","0","0","0","2"
"8000803011","4700000009","2","2","2","2","2","1","0","0","0","1","0","1","1","1","0","1","0","0","0","1","2","2","2","2","2"
"8000803012","4700000010","2","1","0","1","2","2","0","1","0","2","2","0","1","0","2","2","0","1","0","2","2","1","0","1","2"
"8000803013","4700000011","2","2","2","2","2","1","0","0","0","1","0","1","1","1","0","1","0","0","0","1","2","2","2","2","2"
"8000803014","4700000012","2","1","0","1","2","2","0","1","0","2","2","0","1","0","2","2","0","1","0","2","2","1","0","1","2"
"8000804001","4700000001","2","0","1","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","2","0","1","0","2"
"8000804002","4700000002","2","1","1","1","2","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","2","1","1","1","2"
"8000804003","4700000003","2","0","1","0","2","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1","2","0","1","0","2"
"8000804004","4700000004","2","0","1","0","2","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1","2","0","1","0","2"
"8000804005","4700000005","2","0","1","0","2","0","1","1","1","0","1","1","1","1","1","0","1","1","1","0","2","0","1","0","2"
"8000804006","4700000006","2","0","1","0","2","0","1","1","1","0","1","1","1","1","1","0","1","1","1","0","2","0","1","0","2"
"8000804007","4700000009","2","0","1","0","2","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","2","0","0","0","2"
"8000804008","4700000010","2","0","1","0","2","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","2","0","1","0","2"
"8000804009","4700000011","2","0","0","0","2","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","2","0","1","0","2"
"8000804010","4700000012","2","0","1","0","2","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","2","0","1","0","2"
"8000804011","4700000005","0","1","0","1","1","1","1","1","0","1","0","1","0","1","0","1","0","1","1","1","1","1","0","1","0"
"8000804012","4700000006","1","1","0","1","0","1","0","1","1","1","0","1","0","1","0","1","1","1","0","1","0","1","0","1","1"
"8000804013","4700000005","0","1","1","0","1","1","0","1","0","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","0"
"8000804014","4700000006","1","0","1","1","0","0","0","1","0","1","1","1","1","1","1","1","0","1","0","0","0","1","1","0","1"
"8000804015","4700000003","1","0","1","0","1","0","0","1","0","0","1","0","1","0","1","0","0","1","0","0","1","0","1","0","1"
"8000804016","4700000004","1","0","1","0","1","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","1","0","1","0","1"
"8000805007","4700000007","2","1","1","1","2","0","0","1","0","0","1","1","1","1","1","0","0","1","0","0","2","1","1","1","2"
"8000805008","4700000008","2","0","1","0","2","1","0","1","0","1","1","1","1","1","1","1","0","1","0","1","2","0","1","0","2"
"8000805001","4700000001","0","0","1","0","0","0","1","0","1","0","1","0","0","0","1","0","1","0","1","0","0","0","1","0","0"
"8000805002","4700000002","1","0","1","0","1","0","0","1","0","0","1","1","0","1","1","0","0","1","0","0","1","0","1","0","1"
"8000805003","4700000003","0","1","0","1","0","1","0","0","0","1","0","1","0","1","0","1","0","0","0","1","0","1","0","1","0"
"8000805004","4700000004","0","1","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0"
"8000805005","4700000003","1","0","0","0","1","0","1","0","1","0","1","1","1","1","1","0","1","0","1","0","1","0","0","0","1"
"8000805006","4700000004","1","0","1","0","1","0","1","1","1","0","0","0","1","0","0","0","1","1","1","0","1","0","1","0","1"
"8000805011","4700000007","1","0","1","0","1","0","0","1","0","0","1","1","1","1","1","0","0","1","0","0","1","0","1","0","1"
"8000805012","4700000008","1","0","1","0","1","0","0","1","0","0","1","1","1","1","1","0","0","1","0","0","1","0","1","0","1"
"8000805013","4700000007","1","0","1","0","1","0","1","1","1","0","0","0","1","0","0","0","1","1","1","0","1","0","1","0","1"
"8000805014","4700000008","1","0","0","0","1","0","1","0","1","0","1","1","1","1","1","0","1","0","1","0","1","0","0","0","1"
"8000805015","4700000001","0","0","1","0","0","1","1","0","1","1","0","1","0","1","0","1","1","0","1","1","0","0","1","0","0"
"8000805016","4700000002","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0"
