"/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8000501010","4400202010","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","FREE","4400102002","4400300017","4400300017","4400300017","4400300017","4400300017","4400105005","4400300017","4400300017","4400300017","4400300017","4400300017","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","FREE","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004"
"8000501011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","FREE","4400300017","4400300017","FREE","FREE","4400300017","4400300017","FREE","4400300017","4400300017","FREE","FREE","4400104004","4400205013","FREE","4400105005","4400204012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000501012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400201009","FREE","FREE","4400101001","4400104004","4400300017","4400300017","4400204012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400203011","4400300017","4400300017","4400103003","4400105005","FREE","FREE","4400205013","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000501013","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400101001","4400300017","4400300017","4400300017","4400201009","FREE","FREE","4400204012","4400300017","4400300017","4400300017","4400104004","FREE","FREE","4400105005","4400300017","4400300017","4400300017","4400205013","FREE","FREE","4400203011","4400300017","4400300017","4400300017","4400103003","FREE","FREE","4400102002","4400300017","4400300017","4400300017","4400202010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000501014","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400101001","4400105005","4400103003","4400104004","4400102002","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400201009","4400205013","4400203011","4400204012","4400202010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000501015","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400101001","4400105005","FREE","4400104004","4400102002","FREE","FREE","4400300017","4400300017","FREE","4400300017","4400300017","FREE","FREE","4400300017","4400300017","FREE","4400300017","4400300017","FREE","FREE","4400300017","4400300017","FREE","4400300017","4400300017","FREE","FREE","4400201009","4400205013","FREE","4400204012","4400202010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000501016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400107007","4400300017","4400300017","4400300017","4400207015","FREE","FREE","4400204012","4400300017","4400300017","4400300017","4400104004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400108008","4400300017","4400300017","4400300017","4400208016","FREE","FREE","4400203011","4400300017","4400300017","4400300017","4400103003","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000501017","FREE","4400106006","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400206014","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400208016","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400108008","FREE"
"8000501018","4400101001","4400300017","4400300017","FREE","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400203011","4400300017","4400300017","4400300017","4400201009","FREE","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","FREE","4400204012","4400300017","4400300017","4400300017","4400205013","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400105005","FREE","4400300017","4400300017","4400104004"
"8000501019","4400106006","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400207015","4400300017","4400300017","4400300017","4400300017","4400300017","4400107007","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400108008","4400300017","4400300017","4400300017","4400300017","4400300017","4400208016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400202010","4400300017","4400300017","4400300017","4400300017","4400300017","4400102002"
"8000501020","4400101001","FREE","4400103003","FREE","4400105005","FREE","4400104004","4400300017","FREE","4400300017","FREE","4400300017","FREE","4400300017","4400300017","FREE","4400300017","FREE","4400300017","FREE","4400300017","4400300017","FREE","4400300017","FREE","4400300017","FREE","4400300017","4400300017","FREE","4400300017","FREE","4400300017","FREE","4400300017","4400300017","FREE","4400300017","FREE","4400300017","FREE","4400300017","4400201009","FREE","4400203011","FREE","4400205013","FREE","4400204012"
"8000502001","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400105005","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400201009","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400206014","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400106006","4400101001","4400205013","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502002","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400101001","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400201009","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400104004","FREE","FREE","4400300017","4400103003","4400300017","4400300017","4400203011","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400204012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502003","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400204012","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400203011","4400300017","4400300017","4400105005","4400300017","FREE","FREE","4400300017","4400300017","4400104004","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400205013","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400103003","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400205013","4400103003","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400207015","4400300017","FREE","FREE","4400300017","4400203011","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400107007","4400300017","4400300017","4400300017","4400105005","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502005","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400106006","FREE","FREE","4400300017","4400203011","4400300017","4400300017","4400103003","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400104004","4400300017","4400300017","4400204012","4400300017","FREE","FREE","4400206014","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400205013","FREE","FREE","4400300017","4400300017","4400105005","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400203011","4400300017","4400300017","FREE","FREE","4400103003","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400101001","4400300017","4400300017","4400300017","4400201009","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502007","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400108008","4400300017","4400300017","4400300017","4400208016","FREE","FREE","4400300017","4400300017","4400202010","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400205013","4400102002","4400105005","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502008","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400204012","4400203011","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400106006","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400206014","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400104004","4400103003","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502009","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400204012","4400104004","4400300017","4400205013","FREE","FREE","4400300017","4400102002","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400202010","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400105005","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400101001","4400300017","4400300017","4400300017","4400201009","FREE","FREE","4400103003","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400203011","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400208016","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400108008","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400102002","4400204012","4400106006","4400107007","4400207015","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400206014","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400104004","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400202010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400105005","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400101001","4400300017","4400300017","4400300017","4400205013","FREE","FREE","4400103003","4400300017","4400300017","4400300017","4400201009","FREE","FREE","4400300017","4400108008","4400300017","4400300017","4400203011","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400208016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502013","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400101001","4400204012","4400300017","FREE","4400300017","4400300017","4400203011","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400205013","4400300017","4400300017","4400300017","FREE","4400105005","4400300017","4400300017","4400300017","4400201009","4400300017","FREE","4400300017","4400103003","4400300017","4400300017","4400300017","4400104004","FREE","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502014","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400102002","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400202010","4400300017","FREE","4400300017","4400107007","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400205013","FREE","4400207015","4400300017","4400300017","4400105005","4400300017","4400300017","FREE","4400104004","4400300017","4400204012","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502015","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400102002","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400205013","4400300017","4400202010","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","FREE","4400105005","4400207015","4400300017","4400300017","4400300017","4400204012","FREE","4400107007","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","FREE","4400206014","4400300017","4400300017","4400300017","4400203011","4400300017","FREE","4400300017","4400101001","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400208016","4400300017","4400300017","FREE","4400300017","4400300017","4400106006","4400103003","4400300017","4400108008","FREE","4400300017","4400300017","4400201009","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000502017","FREE","4400108008","4400103003","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400208016","4400300017","FREE","FREE","4400300017","4400300017","4400203011","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400205013","4400300017","4400300017","FREE","FREE","4400102002","4400300017","4400300017","4400202010","4400300017","FREE","FREE","4400105005","4400300017","4400300017","4400300017","4400300017","FREE"
"8000502018","FREE","4400300017","4400300017","4400300017","4400204012","4400206014","FREE","FREE","4400300017","4400106006","4400300017","4400300017","4400300017","FREE","FREE","4400104004","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400108008","4400101001","FREE","FREE","4400300017","4400201009","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400208016","4400300017","4400300017","FREE"
"8000502019","FREE","4400103003","4400300017","4400300017","4400300017","4400205013","FREE","FREE","4400300017","4400105005","4400203011","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400206014","4400300017","4400300017","4400300017","FREE","FREE","4400103003","4400300017","4400300017","4400106006","4400203011","FREE"
"8000502020","FREE","4400105005","4400101001","4400300017","4400300017","4400205013","FREE","FREE","4400300017","4400300017","4400300017","4400201009","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400107007","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400102002","4400300017","4400207015","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400202010","4400300017","FREE"
"8000503001","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400105005","4400300017","4400300017","4400300017","4400101001","4400300017","4400300017","4400300017","4400300017","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","4400102002","4400300017","4400300017","4400300017","4400201009","4400300017","4400300017","4400300017","4400300017","4400202010","4400204012","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000503002","FREE","4400201009","4400300017","4400300017","4400300017","4400204012","FREE","FREE","4400300017","4400300017","4400104004","4400208016","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400108008","4400300017","4400300017","4400101001","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE"
"8000503003","FREE","4400101001","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400104004","4400201009","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400203011","4400204012","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400103003","FREE"
"8000503004","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400105005","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400204012","4400205013","4400201009","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000503005","FREE","FREE","FREE","FREE","FREE","FREE","4400201009","4400300017","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","4400300017","4400105005","4400300017","4400300017","4400205013","4400300017","4400203011","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400101001","FREE","FREE","FREE","FREE","FREE","FREE"
"8000503006","FREE","FREE","FREE","FREE","4400104004","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400101001","4400300017","4400300017","4400203011","4400300017","4400300017","FREE","FREE","4400300017","4400205013","FREE","4400201009","4400300017","FREE","FREE","4400300017","4400300017","4400204012","4400300017","4400300017","4400105005","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400103003","FREE","FREE","FREE","FREE"
"8000503007","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400202010","4400300017","4400300017","4400300017","4400300017","4400107007","4400300017","4400203011","4400300017","4400300017","4400300017","4400300017","4400102002","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400205013","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400206014","4400300017","4400300017","4400300017","4400300017","4400105005","4400207015","4400300017","4400300017","4400300017","4400300017","4400300017","4400106006"
"8000503008","4400201009","4400300017","4400300017","4400300017","4400300017","4400300017","4400101001","4400102002","4400300017","4400300017","4400104004","4400204012","4400300017","4400202010","4400300017","4400300017","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000503009","4400300017","4400300017","4400300017","FREE","4400201009","4400207015","4400101001","4400300017","4400105005","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400107007","4400300017","4400102002","4400205013","4400202010","FREE","4400300017","4400300017","4400300017"
"8000503010","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","4400201009","4400300017","FREE","FREE","4400300017","4400300017","4400300017","FREE","FREE","4400103003","4400300017","4400300017","4400300017","4400204012","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000503011","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","FREE","4400300017","4400300017","4400300017","4400105005","4400300017","4400205013","FREE","4400300017","4400204012","4400300017","4400300017","4400203011","4400300017","FREE","4400300017","4400103003","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400201009","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000503012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400108008","4400300017","4400300017","4400300017","4400300017","4400205013","FREE","4400300017","4400300017","4400202010","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400204012","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400105005","4400300017","4400300017","FREE","4400300017","4400104004","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400208016","4400102002","4400300017"
"8000503013","FREE","4400105005","4400300017","4400300017","4400300017","4400300017","4400203011","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400204012","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400206014","4400103003","4400106006","4400205013","4400300017","FREE","4400300017","4400104004","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000503014","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400207015","4400104004","4400300017","4400205013","FREE","4400300017","4400102002","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400107007","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400202010","4400105005","4400300017","4400300017","FREE"
"8000503015","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400203011","4400201009","4400300017","4400300017","4400105005","FREE","4400300017","4400300017","4400300017","4400103003","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400104004","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400101001","4400300017","4400300017","FREE","4400204012","4400300017","4400300017","4400300017","4400300017","4400205013"
"8000503016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400207015","4400101001","4400300017","4400300017","4400300017","4400203011","FREE","4400300017","4400205013","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400107007","4400300017","4400300017","4400201009","4400300017","FREE","4400300017","4400300017","4400300017","4400105005","4400103003","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000503017","FREE","FREE","FREE","4400101001","4400300017","4400300017","FREE","4400300017","4400300017","4400205013","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400201009","FREE","4400105005","4400300017","4400300017","FREE","4400300017","4400300017","4400102002","FREE","4400204012","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400202010","4400300017","4400300017","FREE","4400300017","4400300017","4400104004","FREE","FREE","FREE"
